employee_id,full_name,department,nationality
EMP0001,Charlotte White,Finance,Croatia
EMP0002,William Cooper,Legal,Netherlands
EMP0003,Charlotte Thompson,Product,Australia
EMP0004,Harry Evans,Sales,Argentina
EMP0005,Grace Scott,Product,Argentina
EMP0006,Emily Roberts,Product,Czech Republic
EMP0007,Amelia Hill,Operations,Mexico
EMP0008,Sophia Watson,Finance,Germany
EMP0009,Noah Roberts,Operations,Croatia
EMP0010,Ava Jackson,Legal,France
EMP0011,Hannah Wright,Product,Canada
EMP0012,Grace Wood,Product,Czech Republic
EMP0013,Joshua Martin,Operations,Poland
EMP0014,Isabella Walker,Finance,Spain
EMP0015,Grace Wilson,Marketing,Australia
EMP0016,Henry Turner,HR,Germany
EMP0017,Hannah White,Marketing,Sweden
EMP0018,Isabella Hill,Marketing,Argentina
EMP0019,Jacob Williams,Engineering,Netherlands
EMP0020,Sophie Evans,Sales,Canada
EMP0021,Thomas Thomas,HR,Japan
EMP0022,Isla Cooper,Finance,Norway
EMP0023,Sophie Hill,Engineering,Australia
EMP0024,Poppy Roberts,Operations,Mexico
EMP0025,Lewis Walker,Engineering,Mexico
EMP0026,Alice Green,Finance,Portugal
EMP0027,Lewis Wilson,Sales,Argentina
EMP0028,Alice Wilson,Legal,Portugal
EMP0029,Evie Johnson,Marketing,Russia
EMP0030,William Scott,Product,Brazil
EMP0031,Benjamin Evans,Legal,Croatia
EMP0032,Oliver Lewis,Finance,United Kingdom
EMP0033,Poppy King,Legal,Spain
EMP0034,Henry Johnson,Product,Argentina
EMP0035,Daniel Harris,Product,South Korea
EMP0036,Sophie Roberts,Engineering,Canada
EMP0037,Harry Hill,Finance,United Kingdom
EMP0038,Thomas Jackson,Product,Belgium
EMP0039,Samuel Evans,Marketing,Serbia
EMP0040,Sophie Walker,Legal,Brazil
EMP0041,Charlie Johnson,Legal,Switzerland
EMP0042,Poppy Williams,Marketing,United States
EMP0043,Olivia Jones,Legal,Mexico
EMP0044,Oliver Davies,Marketing,Brazil
EMP0045,Samuel Roberts,Sales,Brazil
EMP0046,Mia Harris,Marketing,Portugal
EMP0047,Evie Jones,Engineering,Netherlands
EMP0048,Amelia Johnson,Product,China
EMP0049,Lewis Davies,Finance,Italy
EMP0050,Sophie Robinson,Marketing,Poland
EMP0051,Samuel Turner,Sales,China
EMP0052,Alfie Scott,HR,Brazil
EMP0053,Daniel Clarke,Legal,Greece
EMP0054,Amelia Wright,HR,Switzerland
EMP0055,Isla White,Legal,Greece
EMP0056,Isabella Evans,Finance,Spain
EMP0057,Grace Williams,Product,Mexico
EMP0058,Lily White,Legal,Canada
EMP0059,Evie Wood,Engineering,Switzerland
EMP0060,Noah Roberts 60,Legal,Belgium
EMP0061,Henry Cooper,HR,Mexico
EMP0062,Lewis Wright,Finance,Mexico
EMP0063,Benjamin Wilson,Product,United States
EMP0064,Evie Walker,Finance,South Africa
EMP0065,Charlie Walker,Engineering,Greece
EMP0066,Lily Turner,Finance,China
EMP0067,Isabella Turner,HR,Belgium
EMP0068,George Cooper,Sales,Denmark
EMP0069,Charlotte Robinson,Marketing,South Korea
